account_id,customer_id,account_open_date,account_type,branch_id
ACC000001,d2029041-3470-4d23-8f30-636ccbc8450c,2024-06-10,CHECKING,BRN039
ACC000002,a315e2f6-db13-496f-aa15-4f0ae64bb00f,2022-07-17,SAVINGS,BRN046
ACC000003,94213773-a44f-48c3-9e97-1dcb0f169f17,2022-06-30,CHECKING,BRN013
ACC000004,58f052b1-a528-4945-a3b0-046a2fcf9527,2022-09-18,CHECKING,BRN031
ACC000005,195a8fae-9c58-4d2a-b850-83111ec72521,2021-09-16,SAVINGS,BRN016
ACC000006,17a5fefe-295b-4d0a-83d6-b1a3f6b1a917,2020-12-07,CHECKING,BRN037
ACC000007,7b7c6b01-9155-4272-bc72-0b7a3f043aea,2021-10-12,SAVINGS,BRN012
ACC000008,459db3ca-7795-46ae-b3db-8faa1844f630,2022-09-09,CHECKING,BRN044
ACC000009,897686fe-774b-4f76-b9f9-58ff20e7e767,2023-12-31,CREDIT_CARD,BRN018
ACC000010,26241295-6d48-4509-8f8e-809995b03482,2023-03-12,SAVINGS,BRN007
ACC000011,63142eb2-0bc6-4974-bcf5-bf7c605451a4,2021-08-25,CHECKING,BRN023
ACC000012,9a057333-a321-49ee-bfb9-695fac51cc37,2023-06-23,SAVINGS,BRN027
ACC000013,5c90f305-5337-43a3-ad48-b2a1618fecec,2022-03-01,CHECKING,BRN045
ACC000014,b233a3f5-5696-4a6f-8b0a-13df283ca99c,2024-01-05,CHECKING,BRN018
ACC000015,56106de6-4007-4956-bb0a-b2c01fd04d17,2023-12-23,CHECKING,BRN007
ACC000016,d338fde2-617b-45e9-9b4d-5c37792c5e67,2023-09-02,SAVINGS,BRN019
ACC000017,9ba47af5-401d-4c44-92ab-4994a48f2e03,2020-11-12,CREDIT_CARD,BRN022
ACC000018,26cbd1d6-df70-4c79-aa78-480aa97d9ad5,2023-02-24,CREDIT_CARD,BRN026
ACC000019,9b09c8e4-f5d4-48d9-9254-f722a409a81a,2021-05-01,CREDIT_CARD,BRN005
ACC000020,0b260580-1b2c-4f88-9770-d3eb97ab0696,2020-11-05,CREDIT_CARD,BRN019
ACC000021,897686fe-774b-4f76-b9f9-58ff20e7e767,2021-07-02,CREDIT_CARD,BRN038
ACC000022,67f81c19-f216-4e29-b153-e48ad589d56b,2020-08-11,CREDIT_CARD,BRN015
ACC000023,da4bc39f-f2a1-4e64-b1db-8943c4058884,2021-06-18,CHECKING,BRN007
ACC000024,f6519ec2-d042-4b59-8a49-93a6ef1bc199,2022-09-16,SAVINGS,BRN019
ACC000025,dd6e6291-8e3f-488c-b2a1-d505ae3f30ee,2020-08-15,CHECKING,BRN044
ACC000026,f33006aa-3c0f-4b50-8aa6-367eb25c8741,2023-01-27,CREDIT_CARD,BRN026
ACC000027,f02f8c18-d3a5-43f3-99ed-eab300cab171,2021-06-28,CHECKING,BRN027
ACC000028,70b02f6a-9764-4579-95cf-88d034642ea4,2023-11-13,CREDIT_CARD,BRN039
ACC000029,897686fe-774b-4f76-b9f9-58ff20e7e767,2020-08-14,SAVINGS,BRN035
ACC000030,5b35a33f-22fb-4aa3-9db2-63beae8479cc,2024-02-04,CHECKING,BRN019
ACC000031,13205db1-e1e6-4d87-9b78-75dce51212a8,2022-04-17,SAVINGS,BRN038
ACC000032,8802dbed-ba3d-4c58-8a89-ac6bf60486c2,2021-05-01,CHECKING,BRN013
ACC000033,1d9e0a5f-f896-4719-9b4b-a76f2c33c46f,2021-02-15,CHECKING,BRN049
ACC000034,6e13c232-cb4e-452e-b008-02dde35e67fc,2020-08-04,SAVINGS,BRN005
ACC000035,a333e985-7238-454d-99c5-81a8bcd9992f,2024-02-28,CHECKING,BRN027
ACC000036,61f87afd-0008-484e-9a1f-4dc211473512,2020-09-08,CHECKING,BRN010
ACC000037,b5ebb5b3-b47d-47ae-b886-08742caafe5d,2024-02-25,CHECKING,BRN008
ACC000038,f39247a9-d66f-4044-b15c-60e8bd9341ba,2022-03-27,CHECKING,BRN007
ACC000039,7750d2d5-0a93-4b20-92e7-39406ebeeac7,2021-01-12,CREDIT_CARD,BRN036
ACC000040,fb7b5b16-be17-4cd7-89fb-f4e4c03b5daf,2024-05-15,SAVINGS,BRN032
ACC000041,f3709c93-05f0-4820-beb8-822b785eb9e1,2023-05-02,SAVINGS,BRN044
ACC000042,4da793e4-7843-4185-8523-7252851204d5,2022-02-11,CREDIT_CARD,BRN044
ACC000043,f4a3902b-5f46-453f-8de1-2c2a8198f4fe,2024-03-18,SAVINGS,BRN016
ACC000044,ba0e04a2-7adf-4883-be51-6525a32328b0,2021-09-18,CHECKING,BRN048
ACC000045,9b37d5e8-18a9-4e30-a69f-54c8314ab270,2023-06-08,CREDIT_CARD,BRN013
ACC000046,3d10dd23-e74b-4340-8cdd-bdc678734b5e,2021-09-06,CHECKING,BRN004
ACC000047,e3abfd20-6fd0-4772-8f94-26f33b98a515,2023-05-23,CHECKING,BRN015
ACC000048,470c86d0-0946-4ed6-ad09-468396b02e7e,2023-12-30,CREDIT_CARD,BRN040
ACC000049,845f91e0-dbb4-4e0a-8c3f-b62ec321d416,2024-05-14,CHECKING,BRN034
ACC000050,39a21182-d25d-422b-814c-95a3c50826ea,2024-03-10,SAVINGS,BRN023
ACC000051,86f98333-d6b2-44a2-84e0-9177defd3837,2023-03-21,CHECKING,BRN011
ACC000052,7fc8e53d-a46e-4615-8fe9-edc5687cdc85,2022-12-09,CHECKING,BRN011
ACC000053,36315a59-c444-47bb-82af-8edd0497fd67,2023-11-05,CREDIT_CARD,BRN047
ACC000054,275d9144-deeb-414b-b5af-76a0b7861538,2022-03-13,CREDIT_CARD,BRN009
ACC000055,69653e98-ae86-40c9-b235-4a1f0c7ae847,2024-06-14,CREDIT_CARD,BRN043
ACC000056,49207aa3-e4b7-49b9-aa18-c43c493604b1,2020-06-26,SAVINGS,BRN019
ACC000057,f7fe3ef3-816f-44fd-9b0f-56c641ed5c09,2023-11-14,SAVINGS,BRN020
ACC000058,55dc9476-6b38-4670-9fc7-65614b566305,2021-03-10,CHECKING,BRN018
ACC000059,79489d19-27c7-43a2-bc18-ea47e716efe5,2023-04-15,SAVINGS,BRN017
ACC000060,094b02d5-e7d9-4d96-a629-590b47bccb4d,2024-01-31,CHECKING,BRN043
ACC000061,6b1e3daa-e560-44d7-89a3-4dffdc12d15e,2024-01-04,CHECKING,BRN026
ACC000062,24c72b12-c390-4b88-8c93-f06bc4662daf,2023-05-06,SAVINGS,BRN008
ACC000063,dd6a69a2-f478-45aa-964b-037ed9f1af4b,2024-04-22,CHECKING,BRN012
ACC000064,03952895-af19-4ccf-a7ac-9fcfea16848c,2021-06-29,SAVINGS,BRN008
ACC000065,47107668-7325-42ef-913c-928f43815e99,2022-10-11,SAVINGS,BRN006
ACC000066,538ebb1a-f4a9-4203-83e2-1ad46e21965c,2022-09-03,CREDIT_CARD,BRN016
ACC000067,aaf2fb2b-5d99-4fa7-b504-88149928dc36,2024-03-26,CREDIT_CARD,BRN006
ACC000068,bb53b265-575d-4268-9e9c-c2f0d386aa5d,2023-10-28,CHECKING,BRN025
ACC000069,949b6734-a844-4cb2-b8f6-d9ab2f5840bf,2023-08-03,SAVINGS,BRN049
ACC000070,c566799a-520b-4917-bec4-570255af5a93,2022-04-18,SAVINGS,BRN013
ACC000071,981eb3ce-a310-401d-99eb-bb3a3e4d88e9,2023-04-08,SAVINGS,BRN037
ACC000072,23f6486d-d125-4e34-a64a-f2b7d45a7d41,2022-03-01,CREDIT_CARD,BRN009
ACC000073,a1543894-7af0-4b71-8dcb-2f0cfd8ede67,2021-08-02,CHECKING,BRN030
ACC000074,0bc1c181-69fd-43fa-b2db-77aa069f4f9d,2021-01-27,CHECKING,BRN030
ACC000075,ba573088-ed10-47fe-9430-8174983d3d9c,2022-09-22,CHECKING,BRN026
ACC000076,38feb2af-db56-4e4c-9af5-bf7a13b49345,2023-05-20,CHECKING,BRN016
ACC000077,d1ee8e7b-7d38-47c3-8e9d-2b8b2a5326de,2022-04-13,SAVINGS,BRN009
ACC000078,f6865caa-999d-47d1-afa6-146a02f058b5,2022-07-12,CREDIT_CARD,BRN022
ACC000079,4a1f2471-bd7e-4be4-9336-925ed4d4bc64,2022-12-28,SAVINGS,BRN040
ACC000080,2930e464-2d9a-4179-9941-9e15e864504f,2023-10-04,CHECKING,BRN032
ACC000081,32a97e5d-65bf-4c72-b739-76b34812bb87,2021-12-18,CHECKING,BRN036
ACC000082,37ee39a5-e517-4bcd-892b-47ad182bfcb1,2022-09-03,SAVINGS,BRN014
ACC000083,ed93f2d3-e168-4093-b3db-5ccee24527c5,2023-08-12,CHECKING,BRN016
ACC000084,8e9c8fe3-cffb-45d8-b802-c061ccbde1ff,2021-10-08,CREDIT_CARD,BRN049
ACC000085,ef8606f4-d1b4-4d53-9b21-b9787511199d,2020-09-03,CHECKING,BRN017
ACC000086,0258d186-64c2-434a-8457-c70f4871a4de,2022-05-31,SAVINGS,BRN010
ACC000087,dcb973b2-504a-4da1-a122-3da1777407b3,2021-02-02,SAVINGS,BRN014
ACC000088,07677e48-c0ce-4092-929d-6ef47e9ed7d6,2022-10-13,CHECKING,BRN045
ACC000089,0e8bc6b2-1e6b-419c-aca9-61e84de1dfd1,2021-07-03,CHECKING,BRN034
ACC000090,d3f67036-435e-436a-a145-a42f4d6a9fc3,2021-05-05,CREDIT_CARD,BRN011
ACC000091,8f56a787-b41b-4cca-8fb8-d3172332ae70,2022-03-02,SAVINGS,BRN018
ACC000092,ebff772c-b3b4-4ca5-9807-2d7d2d228071,2021-01-23,CREDIT_CARD,BRN015
ACC000093,bd5590df-a348-4802-8c1c-47be4de3934e,2021-02-07,CREDIT_CARD,BRN045
ACC000094,d811ba19-835d-44bc-bba4-aaf7cc7ab6c7,2021-04-18,SAVINGS,BRN016
ACC000095,78bd8557-3ac6-4c31-9569-828aba762c16,2023-03-07,CREDIT_CARD,BRN005
ACC000096,4c887c49-ca4f-42e2-aa20-1de81fe3c7d4,2022-02-14,SAVINGS,BRN007
ACC000097,3f9737b0-3d34-4379-a3de-c6e2d77540aa,2022-11-15,CREDIT_CARD,BRN029
ACC000098,4f1bacc9-1f8a-41bc-86f2-ea4a16c8cd1d,2023-12-30,CREDIT_CARD,BRN045
ACC000099,0e107d7c-592d-45a0-8227-455302665ced,2023-12-06,SAVINGS,BRN007
ACC000100,d5aaa7b7-4697-4df8-990f-d7facfe12091,2020-10-26,CHECKING,BRN041
ACC000101,db0e6ecd-d578-4876-85b2-b3d9d10ca40f,2022-01-14,CHECKING,BRN018
ACC000102,54df02bb-bb2e-433d-b3f6-7f38ff1caa34,2023-11-04,SAVINGS,BRN038
ACC000103,39eb7c2d-a2b4-4975-9daa-60735dd8f64e,2024-01-08,SAVINGS,BRN007
ACC000104,7d3895ee-dc7b-4d4a-8cf0-aa7ef9714ff0,2024-02-07,CHECKING,BRN041
ACC000105,d2a38baf-dafe-4b4e-ad5d-12f7f7fa4d87,2022-07-04,CREDIT_CARD,BRN028
ACC000106,36315a59-c444-47bb-82af-8edd0497fd67,2022-10-03,CHECKING,BRN017
ACC000107,0e107d7c-592d-45a0-8227-455302665ced,2022-09-03,CHECKING,BRN037
ACC000108,23b8d4df-f13f-4460-852f-ba0d549270a2,2020-06-30,CHECKING,BRN040
ACC000109,bdb84d63-4fd0-4be9-ab2f-cd44d9493286,2022-11-28,SAVINGS,BRN039
ACC000110,0e3ea688-75d8-4a6d-875c-22179ff122b8,2022-04-24,CREDIT_CARD,BRN028
ACC000111,b6805208-d522-4949-a390-88df98da0efd,2023-03-26,CREDIT_CARD,BRN041
ACC000112,57d7690d-efe7-4dc1-b60f-f152e4b98751,2020-11-17,CHECKING,BRN031
ACC000113,5246e19f-cdc9-4b0d-9729-ca1b21c2b71c,2024-03-15,CHECKING,BRN004
ACC000114,477fcff9-f52d-4852-9384-76c989e3c946,2023-08-31,CREDIT_CARD,BRN032
ACC000115,c0dd4322-c207-4214-805f-82d10e0200e4,2024-05-29,CREDIT_CARD,BRN035
ACC000116,984d485f-d5d9-4546-822b-940f8a6f49a8,2021-03-07,SAVINGS,BRN013
ACC000117,a368dbee-bb28-4076-9d4e-cd488532fece,2021-02-05,CHECKING,BRN026
ACC000118,91f15103-0773-4b53-abaa-08f1d258cf86,2023-03-06,CHECKING,BRN005
ACC000119,9bca6898-2ce6-4d48-94f8-16de5f793a99,2021-04-27,CREDIT_CARD,BRN046
ACC000120,482317d3-cab7-4a1c-b464-698fc6696637,2020-07-31,CHECKING,BRN006
ACC000121,c666345e-14d8-4624-973d-bdbb5a2ab902,2024-02-21,SAVINGS,BRN048
ACC000122,45df6f9e-a91d-47eb-8f9b-4bdbae27575d,2023-09-06,CHECKING,BRN047
ACC000123,6bd961c2-7da7-4ae1-9134-3057081dc5e3,2021-01-06,CHECKING,BRN032
ACC000124,d4e2d3e5-e8c3-4d00-ac85-bfbc035d7c6b,2021-11-26,SAVINGS,BRN017
ACC000125,0f53219b-5e21-44e7-b825-1bf79ba53055,2022-06-26,CREDIT_CARD,BRN044
ACC000126,6335edfc-4f0f-4569-b675-57d366fb4ba0,2023-02-03,SAVINGS,BRN044
ACC000127,92e67573-7039-452a-b2ec-278a5dc28498,2022-05-17,SAVINGS,BRN011
ACC000128,ba573088-ed10-47fe-9430-8174983d3d9c,2023-02-21,CHECKING,BRN018
ACC000129,266d0c09-22b8-455f-b212-0791ed07fea9,2023-11-06,CREDIT_CARD,BRN013
ACC000130,6b32f4b1-9439-4e5e-bd68-f3854b2d9383,2022-11-19,SAVINGS,BRN015
ACC000131,308fce3b-c06b-40eb-985c-8f7dbf7594db,2023-03-09,SAVINGS,BRN014
ACC000132,7369f377-3715-4609-948c-4484e2e4ad90,2023-09-25,SAVINGS,BRN002
ACC000133,e745d8cd-fe42-4efb-890a-6db4c3b50d2a,2022-01-29,CHECKING,BRN009
ACC000134,1e3c8284-4556-4867-b11b-3fe0e4ff12b5,2024-02-05,SAVINGS,BRN035
ACC000135,62ec8cd1-06ac-4790-a060-29eb67779eb7,2021-12-10,CHECKING,BRN006
ACC000136,c911b4e7-020d-4248-864e-1f3c302a3c0b,2024-03-12,SAVINGS,BRN005
ACC000137,38c6ef02-fff2-4c5a-bc98-8d49e068b19c,2022-05-13,CREDIT_CARD,BRN021
ACC000138,1d54c84d-0e39-4bd0-8395-7d2c14cf4d3a,2023-01-23,SAVINGS,BRN043
ACC000139,c3214b8e-f80e-4095-a5a3-4ed9fca2096b,2023-08-09,CHECKING,BRN042
ACC000140,7cf375ef-24ba-4594-a897-4c527f0a047b,2020-11-29,CHECKING,BRN042
ACC000141,f726c709-4b7b-4f41-aab0-09eb544962d3,2020-10-10,CREDIT_CARD,BRN007
ACC000142,8cf3e601-92f2-48e6-a539-0810c9d3887a,2021-08-19,SAVINGS,BRN040
ACC000143,992861f2-f16c-4cc2-ab48-d4b8e0faddd0,2021-12-04,SAVINGS,BRN023
ACC000144,d80bd0a0-65c1-46b8-9b99-1ce7de5aa7ac,2021-01-31,SAVINGS,BRN040
ACC000145,b8e4644a-5907-4641-9f61-aab63518f529,2023-03-11,CREDIT_CARD,BRN026
ACC000146,da2159eb-4be9-4508-b073-31e5ddf951b4,2021-03-24,SAVINGS,BRN046
ACC000147,51bf91f1-ef1e-462f-a216-7b863c053dcd,2021-04-26,CHECKING,BRN002
ACC000148,e161a4e5-8868-4813-aa4e-550972602adc,2023-05-02,CREDIT_CARD,BRN007
ACC000149,91ded2fc-08e9-4b41-a4b5-60eb15790329,2020-07-31,CREDIT_CARD,BRN032
ACC000150,cadbbafb-4f61-48c7-962b-a891078adfd5,2024-01-08,CREDIT_CARD,BRN013
ACC000151,1a45af5b-bd5d-402d-95d9-ed1daed49aac,2024-01-21,CREDIT_CARD,BRN045
ACC000152,eb8ef363-e74d-49dd-80f7-f5fa6d47e996,2024-02-21,CHECKING,BRN021
ACC000153,4a474d64-8afe-4793-ab25-e116a276ff94,2020-12-13,CREDIT_CARD,BRN021
ACC000154,83d135e6-d775-49ae-93e1-546070f9a250,2023-11-15,CHECKING,BRN038
ACC000155,b616812d-7b5e-4968-a24b-0e0cf63d7224,2023-04-07,SAVINGS,BRN044
ACC000156,ce1458bf-b827-4fff-9784-2ad6b4cd30fc,2021-03-11,SAVINGS,BRN023
ACC000157,31e00f70-ea0e-42c9-98cd-74471d6df654,2020-12-19,SAVINGS,BRN016
ACC000158,1da6d966-3597-4ac5-a823-26511b98cba7,2021-03-06,CREDIT_CARD,BRN018
ACC000159,8c5544a3-bc89-45cc-b5b3-f3363cde1043,2023-04-03,SAVINGS,BRN019
ACC000160,851268e1-56fe-457f-91fd-12d486ee9e8a,2023-10-27,CREDIT_CARD,BRN048
ACC000161,52e74bde-fd79-4cfd-87fd-b05b4aaa7b46,2023-12-10,CREDIT_CARD,BRN019
ACC000162,cc427e1b-4ac0-4acc-9287-11d6ccf0bd98,2022-12-14,CHECKING,BRN037
ACC000163,ef3b9f46-562d-4f43-9d35-83d7f1643226,2024-01-31,CREDIT_CARD,BRN023
ACC000164,0565b1bc-e0ae-4a80-a5f9-839aabc11662,2023-12-04,CREDIT_CARD,BRN039
ACC000165,004c9141-7f63-4780-a7b4-4e0024dde3c8,2021-10-02,SAVINGS,BRN011
ACC000166,924ecf60-0b56-482f-895f-0318816b4417,2021-07-22,CHECKING,BRN044
ACC000167,ba8e5b86-35a8-4589-8330-f3a1b2441bcc,2024-03-13,CHECKING,BRN014
ACC000168,19eaa04d-b0d9-40c9-88c7-7a95c9137274,2021-10-29,SAVINGS,BRN028
ACC000169,a2b569bc-e9d0-486d-b03e-c957f48c04de,2023-10-14,CREDIT_CARD,BRN003
ACC000170,a52d6197-ec7d-425a-b509-17d7eaca3b05,2020-11-04,CREDIT_CARD,BRN001
ACC000171,2a3d2e79-caf7-463b-8cbe-556748187d31,2022-02-28,SAVINGS,BRN004
ACC000172,c45115a7-5371-49f4-a112-97f11b704aee,2022-09-20,SAVINGS,BRN039
ACC000173,e0337b04-4114-4790-afaa-77abe0dd0012,2023-06-21,CHECKING,BRN049
ACC000174,004c9141-7f63-4780-a7b4-4e0024dde3c8,2022-09-06,CHECKING,BRN004
ACC000175,76cef6d1-d75d-49f9-9a54-8ae14ad111a8,2024-04-22,SAVINGS,BRN008
ACC000176,2dd51fad-b229-4730-8bf1-5c368084e928,2021-02-20,SAVINGS,BRN044
ACC000177,4838653d-3c55-4fa5-a8a7-6ef5b0aa2218,2021-07-27,CHECKING,BRN009
ACC000178,bb237dd7-e0e0-4bf2-9003-3eb13d42f925,2020-10-23,CHECKING,BRN048
ACC000179,d0b0d523-fd5b-4a9f-be9c-c96aa0c4a271,2024-06-08,CHECKING,BRN032
ACC000180,f4167d05-caab-4e58-872f-e67b992b2a7c,2023-07-14,CREDIT_CARD,BRN037
ACC000181,d457800d-9c10-49fe-9f8c-4ef675af3d47,2023-01-09,CHECKING,BRN023
ACC000182,028ec7c1-477d-45b0-88e8-9d3123f9a433,2020-08-25,SAVINGS,BRN039
ACC000183,8c56fd54-815a-4a6d-b82d-7b14a06a551c,2022-05-03,SAVINGS,BRN045
ACC000184,902ef2d2-ac18-49fa-9bed-baeea10076b4,2020-07-30,CREDIT_CARD,BRN040
ACC000185,43b80e9a-66d1-43c6-b779-336af48bfabe,2023-07-21,CREDIT_CARD,BRN005
